run_id,harderLASSO ANN,LASSO ANN
29,"([6, 7, 11, 24, 27, 30, 38, 39, 41], np.float64(430.4473074593851))","([], np.float64(661.1604729258364))"
30,"([2, 3, 15, 21, 23, 24, 25, 33, 36, 46, 47, 48, 49], np.float64(435.39829069328914))","([], np.float64(621.2893773046106))"
31,"([1, 3, 13, 14, 19, 28, 30, 34, 42, 44], np.float64(688.1662424374451))","([], np.float64(687.5727547159512))"
32,"([1, 3, 5, 7, 12, 15, 22, 23, 24, 29, 35, 36, 38, 41, 43], np.float64(356.62792861516925))","([], np.float64(668.0330729493267))"
33,"([0, 4, 7, 8, 11, 18, 21], np.float64(560.7990819291746))","([], np.float64(653.2122607247838))"
34,"([17, 19, 38, 44, 45], np.float64(561.2903336908196))","([], np.float64(688.3481575187708))"
35,"([7, 12, 21, 24, 25, 28, 29, 41], np.float64(547.348036774508))","([], np.float64(634.0414118954928))"
36,"([6, 10, 11, 17, 19, 26, 29, 34], np.float64(426.8672532563631))","([], np.float64(711.3913041715941))"
37,"([19, 20, 25, 34, 35, 43, 49], np.float64(501.77179374579976))","([], np.float64(596.0623733757238))"
38,"([6, 13, 18, 23, 27, 29, 35, 43], np.float64(443.3864818993062))","([], np.float64(615.185616894787))"
39,"([11, 14, 19, 21, 23, 28, 37, 40], np.float64(469.49445829103365))","([4], np.float64(622.4335807350076))"
40,"([1, 2, 11, 14, 17, 22, 32, 35, 48], np.float64(532.5648099499717))","([], np.float64(659.6641951726766))"
41,"([3, 4, 8, 9, 15, 17, 21, 30, 31, 32, 34, 40], np.float64(409.74883936656505))","([], np.float64(667.4906599508033))"
42,"([8, 14, 26, 29, 32, 34], np.float64(489.5265703383535))","([], np.float64(609.4605580152478))"
43,"([2, 7, 16, 25, 26, 37, 39, 45], np.float64(387.6351051198903))","([], np.float64(631.0339419129682))"
44,"([3, 4, 9, 10, 26, 31, 36, 37, 38, 43], np.float64(487.0661423032734))","([], np.float64(664.2482275034814))"
45,"([3, 12, 13, 16, 19, 30, 31, 37, 41, 44], np.float64(520.6781583126942))","([], np.float64(666.0688087509894))"
46,"([6, 12, 15, 27, 30, 34, 35, 37, 38, 42, 44, 45, 49], np.float64(383.42304985849216))","([], np.float64(673.3863382550979))"
47,"([3, 15, 16, 21, 23, 29, 30, 36, 37, 40], np.float64(492.7998721768367))","([], np.float64(704.4681981095837))"
48,"([1, 3, 4, 11, 13, 15, 16, 23, 24, 27, 30, 41, 44], np.float64(435.99140037054616))","([], np.float64(631.3146326019976))"
49,"([0, 4, 7, 13, 22, 28, 29, 38, 44, 49], np.float64(502.78616600798347))","([], np.float64(627.5306594951173))"
50,"([3, 4, 5, 12, 13, 19, 21, 23, 28, 32, 36], np.float64(427.90368442641534))","([], np.float64(613.371466018515))"
51,"([1, 3, 4, 10, 12, 28, 29, 33, 38, 48, 49], np.float64(505.39596335886324))","([], np.float64(647.1943258757377))"
52,"([2, 6, 8, 16, 24, 25, 33, 35, 39, 42], np.float64(360.3931088974805))","([], np.float64(682.4103882727222))"
53,"([5, 15, 19, 20, 24, 31, 44], np.float64(428.94898599505365))","([], np.float64(627.9576813934966))"
54,"([3, 9, 11, 14, 15, 20, 36, 37, 40, 46, 49], np.float64(406.53634876321394))","([], np.float64(674.5676351098858))"
55,"([0, 1, 3, 19, 20, 22, 25, 30, 33, 37, 39, 41], np.float64(556.762703570175))","([], np.float64(685.298713379482))"
56,"([4, 5, 6, 14, 16, 19, 24, 42, 43, 45, 48], np.float64(497.8872666828306))","([], np.float64(631.1359955903259))"
57,"([1, 2, 15, 24, 33, 35, 38, 47, 48], np.float64(450.7486021807237))","([], np.float64(637.6782802812816))"
58,"([5, 11, 12, 22, 24, 32, 39, 45, 48], np.float64(508.6767891112652))","([], np.float64(663.7791765045788))"
59,"([7, 8, 16, 20, 21, 31, 32, 44, 45], np.float64(411.9715505437591))","([], np.float64(617.0804131358793))"
60,"([3, 7, 13, 20, 29, 33, 35], np.float64(478.29899557558997))","([], np.float64(677.4882129856239))"
61,"([3, 8, 24, 26, 31, 37, 38, 41], np.float64(443.7755698954426))","([], np.float64(697.1545795696562))"
62,"([3, 5, 9, 24, 27, 28, 29, 32, 35, 37, 38, 44, 45, 48], np.float64(502.24020547069705))","([], np.float64(684.8224567992366))"
63,"([0, 11, 16, 25, 27, 35, 42], np.float64(506.76577523630175))","([], np.float64(648.1805129544654))"
64,"([8, 10, 13, 14, 18, 24, 29, 36, 46], np.float64(497.7796215191339))","([], np.float64(680.9136941764652))"
65,"([12, 15, 18, 20, 21, 33, 38], np.float64(509.7653700926552))","([], np.float64(699.123634370754))"
66,"([3, 7, 10, 16, 21, 27, 33, 49], np.float64(551.9328835687743))","([], np.float64(663.456234678312))"
67,"([6, 8, 13, 16, 24, 32, 37, 39, 42, 43, 44], np.float64(371.25640569380903))","([], np.float64(621.5284160033248))"
68,"([1, 6, 14, 18, 22, 24, 31, 33, 35, 37, 43, 44, 45], np.float64(428.2773038571775))","([], np.float64(592.1350305468046))"
69,"([0, 13, 16, 24, 27, 30, 33, 42, 49], np.float64(511.5312236638))","([], np.float64(683.9633592971123))"
70,"([0, 9, 22, 23, 24, 27, 30, 39, 49], np.float64(515.0847610978566))","([], np.float64(623.895734153792))"
71,"([6, 9, 10, 13, 17, 27, 33, 38, 42, 44], np.float64(429.78909980771084))","([], np.float64(603.8339003845341))"
72,"([3, 14, 16, 20, 24, 29, 31, 34, 35, 36, 37, 38], np.float64(470.7571981484079))","([], np.float64(628.6051477698271))"
73,"([1, 2, 3, 6, 7, 10, 13, 32, 33, 37, 38, 42], np.float64(547.3827361565253))","([], np.float64(700.7214054818314))"
74,"([0, 16, 19, 44, 48], np.float64(700.93156219495))","([], np.float64(688.6326361723459))"
75,"([12, 13, 15, 16, 19, 31, 41, 42, 43], np.float64(383.97211549251784))","([], np.float64(588.4392952468288))"
76,"([9, 10, 11, 15, 16, 24, 25, 27, 28, 29, 31, 42, 49], np.float64(340.36706069742667))","([], np.float64(631.7159655331463))"
77,"([3, 11, 12, 30, 32, 40, 49], np.float64(477.2330351447909))","([], np.float64(614.1339712849543))"
78,"([2, 5, 17, 18, 22, 25, 26, 36, 48], np.float64(488.5305805960811))","([], np.float64(661.7799038741358))"
79,"([11, 15, 16, 21, 25, 30, 42, 43], np.float64(484.5124525543611))","([], np.float64(670.3418122416755))"
80,"([11, 21, 22, 25, 36, 39, 44], np.float64(594.8857307106525))","([], np.float64(623.8305385501636))"
81,"([5, 14, 20, 24, 26, 30, 33], np.float64(617.3769655567814))","([], np.float64(666.6227873690561))"
82,"([6, 9, 11, 18, 20, 23, 32, 38, 39, 42, 43, 47], np.float64(521.3828056824046))","([], np.float64(628.156378447748))"
83,"([4, 8, 21, 22, 25, 27, 28, 38], np.float64(520.7709893049936))","([], np.float64(737.0610698769318))"
84,"([6, 13, 14, 19, 21, 28, 35, 37, 38], np.float64(488.55671224085984))","([], np.float64(655.4752895590577))"
85,"([1, 8, 14, 20, 33, 38, 41, 45], np.float64(515.8456860269923))","([], np.float64(634.9581016162587))"
86,"([8, 26, 27, 30, 36, 40, 41, 43], np.float64(487.64847078837374))","([], np.float64(662.4315650836508))"
87,"([0, 1, 3, 7, 8, 15, 17, 21, 23, 43, 44], np.float64(371.4610822471992))","([], np.float64(679.7308922424511))"
88,"([3, 6, 16, 17, 18, 27, 35, 43, 48], np.float64(445.4854482079193))","([], np.float64(639.6033020890034))"
89,"([17, 18, 22, 24, 31, 43, 49], np.float64(457.7380197357355))","([], np.float64(698.627623996776))"
90,"([8, 10, 11, 13, 15, 21, 23, 34, 41, 42, 46, 49], np.float64(446.04369223839683))","([], np.float64(661.2059592016709))"
91,"([0, 8, 12, 24, 26, 32, 33, 36, 43], np.float64(493.6615534555124))","([], np.float64(635.8050587921462))"
92,"([5, 9, 10, 20, 28, 29, 30, 34, 39, 46], np.float64(640.8925688755045))","([], np.float64(657.5295984375407))"
93,"([1, 4, 8, 18, 31, 41, 43, 45], np.float64(427.0947846888909))","([], np.float64(644.89080537007))"
94,"([0, 7, 12, 16, 19, 27, 28, 29, 38, 40, 47, 48], np.float64(535.5428709234807))","([], np.float64(682.8740191973534))"
95,"([1, 3, 6, 14, 15, 27, 29, 37, 38, 43], np.float64(541.6332002859183))","([], np.float64(660.1122879281106))"
96,"([0, 2, 3, 6, 9, 14, 21, 25, 27, 28, 37, 38, 41, 45], np.float64(532.3923921943741))","([], np.float64(682.2994318267221))"
97,"([8, 19, 21, 22, 28, 35, 42, 47, 49], np.float64(493.25376728456155))","([], np.float64(659.3431345745607))"
98,"([9, 13, 23, 30, 32, 33, 43, 49], np.float64(465.68445665977976))","([], np.float64(623.5111460567393))"
99,"([13, 19, 20, 23, 28, 32, 39, 40, 43, 49], np.float64(403.61758979777665))","([], np.float64(611.9193224089769))"
